Step,311,312,lr1,lr2
56521,0.204506874,0.218904465,0.244726077,0.244726077
56608,0.222343862,0.19447729,0.221695751,0.221695751
56787,0.211066887,0.190879107,0.246146902,0.246146902
56820,0.239246652,0.205821857,0.215686619,0.215686619
56999,0.247457176,0.220852017,0.210690171,0.210690171
57299,0.226406664,0.186035365,0.159274444,0.159274444
57305,0.177850381,0.202398539,0.170040846,0.170040846
57484,0.223951772,0.222941071,0.231317535,0.231317535
57760,0.20906046,0.153286457,0.182711393,0.182711393
58295,0.261703253,0.190510064,0.222936988,0.222936988
58440,0.176956028,0.216699392,0.109607175,0.109607175
58556,0.166266531,0.194585592,0.196373761,0.196373761
58641,0.226570234,0.230576336,0.218226135,0.218226135
58719,0.227489144,0.204322577,0.177513421,0.177513421
58746,0.21900408,0.152470455,0.189253613,0.189253613
58763,0.232275501,0.259415001,0.127060801,0.127060801
59030,0.155608326,0.157737911,0.272050947,0.272050947
59264,0.249791816,0.217281505,0.148830473,0.148830473
59311,0.172944307,0.203917742,0.159672126,0.159672126
59432,0.209665895,0.213513225,0.097725034,0.097725034
59640,0.197111011,0.177746147,0.076290861,0.076290861
59670,0.160827532,0.19425948,0.128503993,0.128503993
59737,0.208922431,0.22223106,0.320531636,0.320531636
60179,0.228729934,0.199442863,0.175339878,0.175339878
60185,0.222075671,0.182210565,0.225002706,0.225002706
60207,0.199076325,0.138049006,0.269197285,0.269197285
60297,0.220431894,0.216992706,0.180580705,0.180580705
60475,0.201921657,0.193995684,0.191573352,0.191573352
61122,0.224247068,0.204981282,0.210375547,0.210375547
61205,0.245739192,0.20271644,0.119247042,0.119247042
61276,0.173470914,0.205634981,0.162587762,0.162587762
61438,0.201920211,0.178951919,0.160725757,0.160725757
61534,0.205546543,0.180677414,0.219230205,0.219230205
61680,0.199723691,0.19921875,0.133324236,0.133324236
62139,0.20333834,0.189214885,0.233187884,0.233187884
62219,0.223476022,0.207277879,0.137975484,0.137975484
62516,0.200658113,0.208842576,0.349862754,0.349862754
62547,0.220170721,0.266952574,0.260430515,0.260430515
62555,0.1813844,0.12709333,0.374075413,0.374075413
62874,0.168922007,0.169586927,0.229660839,0.229660839
63024,0.18931292,0.177426189,0.158029854,0.158029854
63220,0.178538918,0.167692095,0.214199007,0.214199007
63358,0.221117601,0.217964619,0.206999466,0.206999466
63428,0.232089654,0.196329296,0.172389954,0.172389954
63429,0.232579112,0.19370684,0.272198737,0.272198737
63513,0.215730041,0.196590528,0.226027459,0.226027459
63671,0.171071202,0.133389622,0.126699194,0.126699194
63865,0.228072286,0.199087948,0.230569497,0.230569497
63988,0.214525789,0.168346196,0.206204951,0.206204951
